Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
Dell Pro 14 Plus,AMD Ryzen 5 PRO 230,16GB RAM,AMD Radeon 760M,"14.0”, WUXGA (1920 x 1200), IPS",512GB SSD,121418,https://laptopmedia.com/laptop-specs/dell-pro-14-plus-47/,https://www.amazon.com/exec/obidos/ASIN/B0FLJV1BFF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 3525,AMD Ryzen 7 5825U,16GB RAM,NVIDIA GeForce MX550,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,99900,https://laptopmedia.com/laptop-specs/dell-inspiron-3525-122/,https://www.amazon.com/exec/obidos/ASIN/B0CJF41J52?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 3511,Intel Core i7-1165G7,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,100000,https://laptopmedia.com/laptop-specs/dell-inspiron-3511-239/,https://www.amazon.com/exec/obidos/ASIN/B0B6QB51FN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5535,AMD Ryzen 7 7840HS,32GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",2000GB SSD,142900,https://laptopmedia.com/laptop-specs/dell-g15-5535-15/,https://www.amazon.com/exec/obidos/ASIN/B0CW9FQ6T1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 3505,AMD Ryzen 3 3250U,8GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,29999,https://laptopmedia.com/laptop-specs/dell-inspiron-3505-146/,https://www.amazon.com/exec/obidos/ASIN/B094G61NW5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G16 7630,Intel Core i9-13900HX,64GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 140W)","16.0"", QHD (2560 x 1600), 165 Hz, IPS",2000GB SSD,256900,https://laptopmedia.com/laptop-specs/dell-g16-7630-65/,https://www.amazon.com/exec/obidos/ASIN/B0CCR8V9F9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 7420,Intel Core i7-1185G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,120900,https://laptopmedia.com/laptop-specs/dell-latitude-7420-115/,https://www.amazon.com/exec/obidos/ASIN/B0CDLNR3LC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 5330,Intel Core i7-1265U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,78974,https://laptopmedia.com/laptop-specs/dell-latitude-5330-5/,https://www.amazon.com/exec/obidos/ASIN/B0BGMCYVQF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 14 5450,Intel Core Ultra 7 155U,16GB RAM,Intel Graphics (4-Cores),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,155000,https://laptopmedia.com/laptop-specs/dell-latitude-14-5450-29/,https://www.amazon.com/exec/obidos/ASIN/B0DPPTDFVC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5525,AMD Ryzen 7 6800H,32GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 90W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",2000GB SSD,151999,https://laptopmedia.com/laptop-specs/dell-g15-5525-131/,https://www.amazon.com/exec/obidos/ASIN/B0C6X4R9F3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell XPS 7590,Intel Core i7-9750H,16GB RAM,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, 4K UHD (3840 x 2160), IPS",1000GB SSD,128250,https://laptopmedia.com/laptop-specs/dell-xps-7590-181/,https://www.amazon.com/exec/obidos/ASIN/B08T7W8N37?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 5420,Intel Core i7-1185G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,999900,https://laptopmedia.com/laptop-specs/dell-latitude-5420-9/,https://www.amazon.com/exec/obidos/ASIN/B099KT6CZL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 15 5570,Intel Core i7-8550U,24GB RAM,Intel UHD Graphics 620,"15.6”, Full HD (1920 x 1080), IPS",128GB SSD 1000GB HDD,379958,https://laptopmedia.com/laptop-specs/dell-inspiron-15-5570-1234/,https://www.amazon.com/exec/obidos/ASIN/B07TQ6LMV9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 15 3530,Intel Core i5-1334U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,74900,https://laptopmedia.com/laptop-specs/dell-inspiron-15-3530-960/,https://www.amazon.com/exec/obidos/ASIN/B0G2K2K87Y?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Pro 16,Intel Core Ultra 7 265U,32GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,127900,https://laptopmedia.com/laptop-specs/dell-pro-16-88/,https://www.amazon.com/exec/obidos/ASIN/B0B9RKBG7H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 15 5550,Intel Core Ultra 5 125U,32GB RAM,Intel Graphics (4-Cores),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,129998,https://laptopmedia.com/laptop-specs/dell-latitude-15-5550-14/,https://www.amazon.com/exec/obidos/ASIN/B0DR283S3Q?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 13 5340,Intel Core i5-1345U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,82500,https://laptopmedia.com/laptop-specs/dell-latitude-13-5340-21/,https://www.amazon.com/exec/obidos/ASIN/B0BBGDY9NM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Pro 14 Plus,Intel Core Ultra 7 268V,32GB RAM,Intel Arc Graphics 140V,"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,170900,https://laptopmedia.com/laptop-specs/dell-pro-14-plus-76/,https://www.amazon.com/exec/obidos/ASIN/B0FXWY2D1P?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
