Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link,Price_IDR,CPU_Score,GPU_Score,Screen_Score
HP 15,Intel Processor N200,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,36900,https://laptopmedia.com/laptop-specs/hp-15-22685/,https://www.amazon.com/exec/obidos/ASIN/B0FLQ6PD2F?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,590400000,3000,1533,20
HP Chromebook 11,Mediatek MT8183,4GB RAM,ARM Mali-G72 MP3,"11.6”, HD (1366 x 768), TN",32GB SSD,17977,https://laptopmedia.com/laptop-specs/hp-chromebook-11-51/,https://www.amazon.com/exec/obidos/ASIN/B08HJT1BKQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,287632000,3000,1500,20
HP Chromebook 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,26900,https://laptopmedia.com/laptop-specs/hp-chromebook-14-147/,https://www.amazon.com/exec/obidos/ASIN/B09RC5SQLJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,430400000,2443,310,20
HP 17 (17-by4000),Intel Core i7-1165G7,8GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, HD+ (1600 x 900), TN",1000GB HDD,49996,https://laptopmedia.com/laptop-specs/hp-17-17-by4000-222/,https://www.amazon.com/exec/obidos/ASIN/B08SC3HB6W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,799936000,9787,2595,30
HP Chromebook 11,Mediatek MT8173c,4GB RAM,Imagination PowerVR GX6250,"11.6”, HD (1366 x 768), TN",32GB SSD,19999,https://laptopmedia.com/laptop-specs/hp-chromebook-11-29/,https://www.amazon.com/exec/obidos/ASIN/B09D1XM2CC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,319984000,3000,108,20
HP 15,Intel Core i3-1115G4,8GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, HD (1366 x 768), TN",256GB SSD,34500,https://laptopmedia.com/laptop-specs/hp-15-14944/,https://www.amazon.com/exec/obidos/ASIN/B0C53754LJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,552000000,5823,1533,20
HP 15,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",256GB SSD,49100,https://laptopmedia.com/laptop-specs/hp-15-13623/,https://www.amazon.com/exec/obidos/ASIN/B0BV6MV8KX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,785600000,9332,2595,50
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,59999,https://laptopmedia.com/laptop-specs/hp-15-26652/,https://www.amazon.com/exec/obidos/ASIN/B0G47LZZTN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,959984000,9413,1533,50
HP 15,Intel Core i7-1255U,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,55999,https://laptopmedia.com/laptop-specs/hp-15-25711/,https://www.amazon.com/exec/obidos/ASIN/B0FWKVSVLT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,895984000,12894,2595,90
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,51900,https://laptopmedia.com/laptop-specs/hp-15-25411/,https://www.amazon.com/exec/obidos/ASIN/B0FVSWFGYL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,830400000,9413,1533,90
HP 15,Intel Core i3-1315U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",512GB SSD,45900,https://laptopmedia.com/laptop-specs/hp-15-24857/,https://www.amazon.com/exec/obidos/ASIN/B0FP15PYMV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,734400000,11077,1533,20
HP 250 G10 / 255 G10,AMD Ryzen 5 7530U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,59999,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-623/,https://www.amazon.com/exec/obidos/ASIN/B0FQPMMTNS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,959984000,3000,1500,90
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,32888,https://laptopmedia.com/laptop-specs/hp-14-10304/,https://www.amazon.com/exec/obidos/ASIN/B0FMXYX78X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,526208000,3000,1533,20
